,p.val,q.val,set.size
FISCHER_DREAM_TARGETS,3.56009329261091E-12,1.10341531511183E-07,953
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP,2.95276475464232E-11,3.81460190519262E-07,1221
NUYTTEN_EZH2_TARGETS_DN,3.69226486274049E-11,3.81460190519262E-07,992
MARSON_BOUND_BY_E2F4_UNSTIMULATED,9.78121278986134E-11,7.57897273022406E-07,672
DIDO1_TARGET_GENES,7.96706927406805E-10,4.9386269016093E-06,1526
THAP1_TARGET_GENES,1.39095362679009E-09,7.18520278478867E-06,1833
CEBPZ_TARGET_GENES,4.7657370514142E-08,0.000211013220245,1428
ZNF407_TARGET_GENES,7.5857832342162E-08,0.000263803966906,1800
GO_MITOCHONDRION,7.6603074858029E-08,0.000263803966906,1489
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP,9.3879106064503E-08,0.000290968901336,561
ELF2_TARGET_GENES,1.69842072134616E-07,0.000478553198522,1406
ZNF711_TARGET_GENES,3.54191612393284E-07,0.000914817902876,1599
ZHONG_PFC_C1_OPC,4.32175680570082E-07,0.001030373311045,236
HAY_BONE_MARROW_ERYTHROBLAST,5.41217955448152E-07,0.001198179236511,1202
GEORGES_TARGETS_OF_MIR192_AND_MIR215,7.09660214830856E-07,0.001466347246565,863
JOHNSTONE_PARVB_TARGETS_3_DN,7.79277986685616E-07,0.001509558869958,847
ASH1L_TARGET_GENES,1.14028775452191E-06,0.002078945803744,1343
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP,1.23987446236612E-06,0.002134926060365,317
GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP,1.82661779042401E-06,0.002979694305074,192
LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,2.15567175202316E-06,0.00334064451411,319
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN,4.15721990488448E-06,0.006135660653904,180
GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,5.78892004411566E-06,0.008155535811242,195
