,p.val,q.val,set.size
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP,1.8907666725085E-10,5.86024222477284E-06,274
GO_MUSCLE_SYSTEM_PROCESS,4.93027966163152E-09,5.3363007546848E-05,328
GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,5.16516172938452E-09,5.3363007546848E-05,391
HALLMARK_MYOGENESIS,1.91995604886253E-08,0.000148767794446,173
LIM_MAMMARY_STEM_CELL_UP,3.37150720694498E-08,0.000208992988744,411
GO_CONTRACTILE_FIBER,4.71855860524202E-08,0.000240177287006,188
GNF2_TTN,5.42440797910595E-08,0.000240177287006,19
RICKMAN_HEAD_AND_NECK_CANCER_F,8.21078067388778E-08,0.000318106170258,40
GO_MUSCLE_FILAMENT_SLIDING,1.1865176765612E-07,0.000398669970904,33
AIZARANI_LIVER_C21_STELLATE_CELLS_1,1.28628112184395E-07,0.000398669970904,172
GO_MUSCLE_CONTRACTION,1.54030926375897E-07,0.000434003139281,258
SMID_BREAST_CANCER_NORMAL_LIKE_UP,1.76533879842083E-07,0.000455957589319,307
GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,2.58852290590828E-07,0.000617143684198,298
NABA_MATRISOME,3.34807610881412E-07,0.000741216220833,590
GO_MUSCLE_STRUCTURE_DEVELOPMENT,3.77502369461911E-07,0.000780020562607,498
GO_MUSCLE_ORGAN_DEVELOPMENT,5.50992558529963E-07,0.001067341459942,296
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,6.00431091577267E-07,0.001094691838373,31
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7.16096842997775E-07,0.001233039197326,172
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP,1.06087709747879E-06,0.001641253124848,261
EBAUER_MYOGENIC_TARGETS_OF_PAX3_FOXO1_FUSION,1.06523603351841E-06,0.001641253124848,39
GO_EXTRACELLULAR_MATRIX,1.11203186493537E-06,0.001641253124848,383
GO_BIOLOGICAL_ADHESION,1.22499239504916E-06,0.001725791558734,1093
HU_FETAL_RETINA_FIBROBLAST,1.31260217314614E-06,0.001768817032804,339
MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL,1.62669361230394E-06,0.00210073924249,638
REACTOME_MUSCLE_CONTRACTION,1.91398593178443E-06,0.002372883198789,148
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN,3.78038892451263E-06,0.004506514397167,441
AIZARANI_LIVER_C10_MVECS_1,5.49636242956289E-06,0.00630941693118,224
MODULE_12,6.30390675007635E-06,0.006560693075055,316
MODULE_84,6.33040310165294E-06,0.006560693075055,395
MENON_FETAL_KIDNEY_3_STROMAL_CELLS,6.35028690235685E-06,0.006560693075055,75
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION,7.09109301533249E-06,0.006993609458907,302
GO_ACTIN_MEDIATED_CELL_CONTRACTION,7.25993533320693E-06,0.006993609458907,93
REACTOME_STRIATED_MUSCLE_CONTRACTION,7.44740592092572E-06,0.006993609458907,30
SWEET_LUNG_CANCER_KRAS_DN,7.87739454192411E-06,0.006993609458907,335
GO_MUSCLE_TISSUE_DEVELOPMENT,7.89753923539197E-06,0.006993609458907,295
GO_ACTIN_FILAMENT_BASED_MOVEMENT,8.15939541685643E-06,0.007024786154168,120
REACTOME_DEVELOPMENTAL_BIOLOGY,8.62366873870001E-06,0.007223837537494,834
CUI_DEVELOPING_HEART_CARDIAC_FIBROBLASTS,9.00667373628985E-06,0.007346127520594,79
GO_STRUCTURAL_MOLECULE_ACTIVITY,9.46627886864583E-06,0.007523021724482,547
MODULE_47,1.21464013714162E-05,0.009411639102642,192
GO_CIRCULATORY_SYSTEM_DEVELOPMENT,1.27689869623835E-05,0.009652731266149,864
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,1.44012896896876E-05,0.01062746601529,431
GO_SARCOMERE_ORGANIZATION,1.51435237548187E-05,0.010915311052485,35
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP,1.77625674106755E-05,0.012310725967147,248
LINDGREN_BLADDER_CANCER_CLUSTER_2B,1.78738681203338E-05,0.012310725967147,325
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP,1.8824461333248E-05,0.012683594664406,160
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.01594533754953E-05,0.013294087189789,237
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,2.12468726728673E-05,0.013719282742143,862
HAY_BONE_MARROW_STROMAL,2.47741347245178E-05,0.015670398605137,597
GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,2.67459635561077E-05,0.016279860543754,122
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,2.74895146086987E-05,0.016279860543754,90
MODULE_1,2.77879753387931E-05,0.016279860543754,330
MODULE_2,2.78386980970174E-05,0.016279860543754,332
GO_RESPONSE_TO_CYTOKINE,3.02354161936361E-05,0.017354009064918,923
MURARO_PANCREAS_ENDOTHELIAL_CELL,3.23460861825457E-05,0.018227901729851,320
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP,3.64723050067931E-05,0.020186118238938,171
GO_MYOFIBRIL_ASSEMBLY,3.78465020643648E-05,0.020579201490929,52
GO_TAXIS,3.98034416481564E-05,0.021270135697292,465
LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS,4.15434686555752E-05,0.021823699449337,157
MODULE_329,4.29705079282787E-05,0.021833244634903,34
MODULE_387,4.29705079282787E-05,0.021833244634903,34
BOQUEST_STEM_CELL_UP,4.58821777201954E-05,0.022527143041118,213
GO_I_BAND,4.6379376661028E-05,0.022527143041118,111
KEGG_FOCAL_ADHESION,4.65166533726377E-05,0.022527143041118,174
GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,5.39175702362027E-05,0.025709556490783,585
MODULE_5,5.69704252882233E-05,0.026753656990654,360
GO_BLOOD_VESSEL_MORPHOGENESIS,7.40463961467846E-05,0.034253641823484,469
TATAAA_TATA_01,7.66381602837752E-05,0.034931222644637,890
AIZARANI_LIVER_C23_KUPFFER_CELLS_3,9.40256019158875E-05,0.04223521022871,182
GO_VASCULATURE_DEVELOPMENT,9.90585509609214E-05,0.043860296121183,567
GO_STRIATED_MUSCLE_CONTRACTION,0.000102164729717,0.044326018821305,128
LIU_PROSTATE_CANCER_DN,0.000103561510315,0.044326018821305,427
KIM_GLIS2_TARGETS_UP,0.000104400831579,0.044326018821305,66
MODULE_220,0.000111915746774,0.0467309460229,241
MODULE_201,0.000113080626951,0.0467309460229,34
GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,0.000120687091627,0.049218101551244,173
CUI_DEVELOPING_HEART_C3_FIBROBLAST_LIKE_CELL,0.000124384348593,0.049835189421159,102
GO_INTEGRIN_BINDING,0.000125416041003,0.049835189421159,116
GO_TUBE_MORPHOGENESIS,0.000139925751378,0.054818772998186,679
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR,0.000141495187451,0.054818772998186,141
MODULE_64,0.000144975070335,0.055101427411377,305
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,0.000145808953575,0.055101427411377,710
GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.00014755818788,0.055101427411377,1100
GO_CELL_CELL_SIGNALING,0.000159679335324,0.058854229102377,1295
GO_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.000161405738972,0.058854229102377,746
GO_SIGNALING_RECEPTOR_BINDING,0.000164105444688,0.059142838984411,1108
GO_MUSCLE_CELL_DEVELOPMENT,0.000172072288777,0.061301247337258,135
LAKE_ADULT_KIDNEY_C28_INTERSTITIUM,0.000180396009763,0.063536294620416,80
RODWELL_AGING_KIDNEY_UP,0.000183706450199,0.063975255252324,415
SERVITJA_ISLET_HNF1A_TARGETS_UP,0.00018787307337,0.064494566492501,129
NABA_MATRISOME_ASSOCIATED,0.000189359409912,0.064494566492501,406
GO_REGULATION_OF_SYSTEM_PROCESS,0.000192303820685,0.064785484981597,412
GO_RESPONSE_TO_BIOTIC_STIMULUS,0.000196145971075,0.065369335779718,1022
NABA_CORE_MATRISOME,0.000205796589626,0.06785595211549,184
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL,0.000218310020905,0.071224218820454,325
WONG_ADULT_TISSUE_STEM_MODULE,0.000221890997134,0.071638432970377,623
SRF_Q5_01,0.00022995857162,0.073477690400008,185
TATA_01,0.000237684906326,0.075171489659784,168
MODULE_122,0.000254445913878,0.079245364715485,113
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP,0.000255679695152,0.079245364715485,143
GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT,0.000270803205301,0.08310172816917,810
NABA_SECRETED_FACTORS,0.000278468265771,0.084616131659906,165
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.000287349176836,0.085620443938182,365
AIZARANI_LIVER_C29_MVECS_2,0.000288203246374,0.085620443938182,268
WALLACE_PROSTATE_CANCER_RACE_UP,0.000290060870282,0.085620443938182,198
CUI_DEVELOPING_HEART_COMPACT_VENTRICULAR_CARDIOMYOCYTE,0.000314114197315,0.091845805958324,49
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE,0.000319504069434,0.091894944127369,48
LIANG_SILENCED_BY_METHYLATION_2,0.000322934891611,0.091894944127369,52
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.000325486642129,0.091894944127369,105
LIM_MAMMARY_LUMINAL_MATURE_DN,0.00032614195825,0.091894944127369,90
GO_STRIATED_MUSCLE_CELL_DIFFERENTIATION,0.000330003024462,0.092145168830463,206
AIZARANI_LIVER_C33_STELLATE_CELLS_2,0.000336349480805,0.093078712571989,118
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP,0.000341714395003,0.093726512908961,125
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,0.000362210258108,0.097526878355309,512
MODULE_512,0.000362302123604,0.097526878355309,25
GO_ANIMAL_ORGAN_MORPHOGENESIS,0.000368590703702,0.097526878355309,849
LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES,0.000369247187555,0.097526878355309,142
GO_REGULATION_OF_MUSCLE_CONTRACTION,0.000374197796747,0.097526878355309,121
GO_MUSCLE_ADAPTATION,0.00037532357749,0.097526878355309,86
GO_ACTIN_FILAMENT_BASED_PROCESS,0.000378604416542,0.097526878355309,676
GO_LEUKOCYTE_MIGRATION,0.000380743120636,0.097526878355309,310
CUI_DEVELOPING_HEART_C2_CARDIOMYOCYTE,0.000393858041576,0.100059312627955,66
GO_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,0.000398132932947,0.100323025396343,120
MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS,0.00041691488563,0.103726381642213,90
MODULE_46,0.000418332506462,0.103726381642213,230
MODULE_75,0.000431505093755,0.106143403776452,243
GO_SKELETAL_MUSCLE_CONTRACTION,0.000445639503239,0.108693797091137,36
RSRFC4_01,0.00044888707581,0.108693797091137,185
KUNINGER_IGF1_VS_PDGFB_TARGETS_UP,0.000487209554705,0.117058704949739,52
GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.000501093071249,0.118556289013749,704
RODWELL_AGING_KIDNEY_NO_BLOOD_UP,0.000502379106874,0.118556289013749,197
GO_DEFENSE_RESPONSE,0.000504918053488,0.118556289013749,1114
GO_SARCOLEMMA,0.000519953290868,0.121168663888515,111
WP_FOCAL_ADHESION,0.000526333208399,0.121247833010575,174
