,GSM5444463,GSM5444460,GSM5444461,GSM5444462,GSM5444464,GSM5444465,GSM5444448,GSM5444449,GSM5444450,GSM5444451,GSM5444452,GSM5444453,GSM5444454,GSM5444455,GSM5444456,GSM5444457,GSM5444458,GSM5444459
ENSG00000223972.5,4,4,2,0,8,4,0,26,6,10,1,0,0,0,0,11,0,0
ENSG00000227232.5,189,182,224,259,433,174,374,498,247,400,334,0,71,241,226,222,12,5
ENSG00000278267.1,22,5,0,8,0,35,6,8,4,9,1,0,6,43,0,9,1,0
ENSG00000243485.5,3,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000238009.6,27,8,37,1,18,4,85,41,36,28,42,0,0,26,0,9,0,0
ENSG00000239945.1,0,1,0,0,15,1,38,6,16,9,19,0,0,0,0,4,0,0
ENSG00000233750.3,179,198,251,128,94,280,73,198,139,152,131,1,41,334,50,573,34,0
ENSG00000268903.1,610,310,340,314,553,443,265,299,141,265,228,6,219,802,390,804,26,0
ENSG00000269981.1,45,24,16,28,44,61,7,54,15,31,22,0,16,73,0,15,3,0
ENSG00000239906.1,3,0,7,0,14,1,0,22,6,12,6,0,0,0,0,0,0,0
ENSG00000241860.7,105,58,106,62,174,132,256,245,173,243,182,0,15,49,3,73,10,0
ENSG00000222623.1,0,0,0,0,7,4,6,1,0,0,1,0,0,0,0,0,0,0
ENSG00000241599.1,11,25,23,0,9,14,8,15,14,11,19,0,2,91,35,107,9,0
ENSG00000279928.2,4,0,0,0,1,0,3,13,14,1,1,0,0,0,0,0,0,0
ENSG00000279457.4,329,276,258,376,391,366,315,333,230,345,228,29,68,274,189,335,40,0
ENSG00000273874.1,5,8,0,18,12,2,0,8,6,24,4,0,0,23,0,7,3,0
ENSG00000228463.10,100,77,89,72,147,58,41,93,88,98,88,0,15,0,0,8,0,0
ENSG00000286448.1,0,0,0,0,1,0,0,8,3,0,4,0,19,0,0,8,2,0
ENSG00000236679.2,0,1,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236601.2,3,0,4,0,0,2,0,11,1,2,1,0,0,23,0,1,0,0
ENSG00000237094.12,49,47,68,74,141,103,87,164,92,178,135,0,6,52,43,39,4,0
ENSG00000269732.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,3,16,3,5,2,8,22,6,6,24,6,0,7,16,0,15,0,0
ENSG00000250575.1,90,47,74,57,58,115,130,99,58,115,90,0,23,97,56,56,4,4
ENSG00000278757.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021.10,12,6,39,24,9,32,36,55,31,43,35,0,18,6,2,13,3,0
ENSG00000235146.2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,3196,2490,2084,2881,3176,3420,3022,4272,3193,4260,3028,147,982,5222,3387,6833,682,28
ENSG00000225630.1,8610,6342,4812,6773,9208,8895,12050,13968,10828,13198,12687,213,2332,9439,7753,8621,868,70
ENSG00000237973.1,9127,9218,9397,11089,10666,12507,12615,15980,16044,20393,15321,388,3962,15426,13203,13681,2206,135
ENSG00000278791.1,3,4,7,6,4,5,1,11,8,1,5,0,2,1,1,13,0,0
ENSG00000229344.1,3033,2084,1547,2621,2668,3776,2295,3788,3398,3902,1838,34,982,4324,2160,4123,839,1
ENSG00000240409.1,225,229,186,235,265,248,366,573,229,206,214,0,40,141,245,213,52,4
ENSG00000248527.1,25780,18451,14802,19214,28408,24945,40792,41450,22463,30087,38342,1010,5957,26996,19588,24968,2076,160
ENSG00000198744.5,2876,1659,1543,2201,3362,3334,3493,3639,2472,3271,3061,47,698,3559,2299,4707,221,5
ENSG00000268663.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,12,40,22,0,0,34,35,13,19,34,15,10,4,62,0,125,14,0
ENSG00000228327.3,752,521,554,701,844,1019,838,1194,708,1283,926,3,187,1157,503,967,75,1
ENSG00000223181.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,7,5,8,0,10,3,0,11,1,5,0,0,0,8,0,14,0,0
ENSG00000237491.10,100,65,47,67,104,87,87,99,26,53,51,1,42,119,25,146,20,0
ENSG00000285268.1,0,0,0,0,0,2,0,6,0,1,0,1,0,0,0,0,0,0
ENSG00000230092.7,0,19,1,2,0,25,0,0,3,0,0,0,0,89,0,26,2,0
ENSG00000177757.2,6,5,0,14,22,6,23,8,1,8,7,0,0,36,0,17,0,0
ENSG00000228794.10,390,265,299,232,375,356,612,651,482,656,449,8,181,656,371,516,54,0
ENSG00000225880.5,32,14,58,24,62,47,36,46,22,49,38,0,6,57,51,47,10,0
ENSG00000288531.1,1,0,0,0,19,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000230368.2,2,0,1,0,0,1,1,0,0,1,3,0,0,1,0,0,0,0
ENSG00000234711.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,2,10,0,0,11,20,2,26,23,32,12,0,3,0,2,43,8,0
ENSG00000230699.2,24,9,31,19,0,29,89,95,53,77,42,0,50,140,268,161,14,0
ENSG00000241180.1,0,2,0,10,0,1,10,4,11,10,6,0,3,20,108,44,8,0
ENSG00000223764.2,28,29,31,0,32,17,60,116,81,175,100,0,20,370,3,184,8,0
ENSG00000187634.12,398,446,391,432,475,471,825,1055,722,1034,879,5,231,749,373,1173,60,6
ENSG00000188976.11,2263,2394,2598,2622,2875,2996,3378,4040,3275,4360,3203,10,1133,2910,1543,3289,309,13
ENSG00000187961.14,247,254,360,265,326,278,272,440,273,581,311,10,80,259,147,393,23,12
ENSG00000187583.11,357,367,260,249,496,370,377,497,320,572,321,6,59,182,0,234,41,12
ENSG00000187642.9,109,162,53,96,173,146,126,182,107,158,89,0,40,51,10,112,18,2
ENSG00000272512.1,16,1,10,0,0,7,143,183,84,140,75,0,65,250,163,153,11,0
ENSG00000188290.10,35,50,108,30,69,58,794,1043,705,1099,635,17,317,1229,732,1994,128,22
ENSG00000187608.10,296,47,45,31,67,214,2617,3225,3338,4876,1617,28,319,364,465,1116,150,6
ENSG00000231702.2,0,0,0,0,0,0,0,5,2,11,8,0,0,0,0,2,0,0
ENSG00000224969.1,0,0,0,0,0,0,0,0,7,1,0,0,2,2,23,0,0,0
ENSG00000188157.15,2315,3079,4085,3338,4566,5382,4215,5696,5105,7093,4357,88,1838,4241,1771,5923,510,46
ENSG00000242590.1,70,178,247,130,187,233,101,257,220,332,196,8,131,197,94,490,32,11
ENSG00000217801.10,92,31,68,47,39,30,125,118,67,119,90,0,73,93,137,251,21,1
ENSG00000273443.1,2,0,0,0,0,0,8,6,0,15,17,0,6,0,0,29,1,0
ENSG00000237330.3,193,36,24,13,35,52,79,66,51,67,42,0,13,178,67,133,17,0
ENSG00000131591.17,200,186,308,324,276,308,497,732,458,791,560,9,159,451,415,821,65,8
ENSG00000285812.1,69,115,69,74,69,64,77,92,51,116,113,0,28,469,113,334,28,1
ENSG00000223823.1,0,1,17,0,0,1,9,14,0,6,0,0,51,32,111,79,7,0
ENSG00000207730.3,0,0,0,0,0,1,4,3,1,2,1,0,0,0,0,3,0,0
ENSG00000207607.3,0,0,0,0,0,0,10,0,1,2,5,8,9,0,0,3,1,0
ENSG00000198976.1,6,9,13,1,10,14,30,28,21,18,10,0,0,33,24,18,2,0
